reading,word,pos,comment
らくたん,落単,noun,単位を落とすこと
らくたん,楽単,noun,単位取得が容易な科目なこと
ぶっち,ブッチ,noun,授業をサボること
つくばっく,つくばっく,noun,帰省からつくばに戻ってきた学生がよく発する言葉
つくばいばい,つくばいばい,noun,つくばから離れる際に学生がよく発する言葉
つくばじかん,筑波時間,noun,筑波大生の歪んだ時間感覚によって生み出された架空の標準時
たくつう,宅通,noun,自宅から大学に通う人々のこと
