reading,word,pos,comment
やどさい,やど祭,proper_noun,筑波大学の学園祭
やどかりさい,やどかり祭,proper_noun,筑波大学の学園祭
ゆかこん,ゆかコン,noun,浴衣コンテストの略
ゆかたこんてすと,浴衣コンテスト,noun,やどかり祭で学類対抗で出場者が浴衣を着用し、その美しさとパフォーマンスで優勝を競うイベント
